source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
Storm names 2006 storm names Alberto Helene Beryl Isaac Chris Debby Ernesto Florence Gordon The names listed were used for named storms formed in the North Atlantic during 2006.,"Sturmnamen 2006 sind Alberto Helene Beryl Isaac Chris Debby Ernesto Florence Gordon. Die Namen wurden für Stürme verwendet, die im Nordatlantik im Jahr 2006 gebildet wurden.","2006年暴风雨名称是Alberto Helene Beryl Isaac Chris Debby Ernesto Florence Gordon,2006年在北大西洋形成风暴时使用了这些名称。","The 2006 storm was named Alberto Helene Beryl Isaac Chris Debby Ernesto Florence Gordon, which was used during the storm formation in the North Atlantic in 2006.",Storm names 2006 are Alberto Helene Beryl Isaac Chris Debby Ernesto Florence Gordon. The names were used for storms formed in the North Atlantic in 2006.
Extensions were added in 1980 at both ends of the Bloor-Danforth Line.,Die Verlängerungen wurden 1980 an beiden Enden der Bloor-Danforth-Linie vorgenommen.,1980年布洛尔-丹福斯线两端都增加了扩展线。,An extension line was added at both ends of the Bloor-Danfors Line in 1980.,The extensions were made in 1980 at both ends of the Bloor-Danforth line.
"He is a member of the Austrian writers' associations Grazer Autorenversammlung (GAV) GAV members' list, entry about Klaus Ebner, retrieved on 2009 - 02 - 12.","Er ist Mitglied der Liste der GAV-Mitglieder der Grazer Autorenversammlung (GAV). Es handelt sich um den Eintrag über Klaus Ebner, der 2009 - 02 - 12.","他是奥地利作家协会成员,关于Klaus Ebner的Grazer Autorenversamlung条目,2009年2月12日检索。","He is a member of the Austrian Writers'Association, concerning the entry of Grazer Autorenversamlung, Klaus Ebner, accessed on 12 February 2009.","He is a member of the list of GAV members of the Grazer Autorenversammlung (GAV). It is about the entry about Klaus Ebner, who 2009 - 02 - 12."
The Hubble Space Telescope observed Fortuna in 1993.,Fortuna wurde 1993 vom Hubble-Teleskop gesehen.,哈勃空间望远镜于1993年观看了福图纳。,The Hubble Space Telescope observed Fortuna in 1993.,Fortuna was seen by the Hubble telescope in 1993.
"In some videos, the woman may demand that her ""straight"" husband or boyfriend perform sex acts with the other man as ""punishment"" for infidelity (see Cuckold).","Die Frau kann verlangen, dass ihr ""gerade"" bedeutende andere führen Sex-Akten mit einem anderen Mann. Dies ist ""Strafe"" für Untreue.","妇女可以要求其“直男”丈夫或男友与另一男子进行性行为,作为对作弊的“惩罚”。",A woman may ask her “direct male” husband or boyfriend to engage in sexual intercourse with another man as a “punishment” for cheating.,"The woman can demand that her ""just"" significant others lead sex files with another man. This is ""punishment"" for infidelity."
"The album featured a greater creative input from the quartet, although they still relied on a heavyweight production crew including Rodney Jerkins, Missy Elliott, Chad Elliot, and Dwayne Wiggins of Tony!","Das Album zeigte kreative Beiträge aus dem Quartett. Allerdings umfasste die Produktionsmannschaft beliebte Stars. Einige Künstler waren Rodney Jerkins, Missy Elliott, Chad Elliot und Dwayne Wiggins von Tony!","这张专辑中来自四方的更有创意的投入,尽管他们仍然依赖一个生产团队,包括Rodney Jerkins、Missy Elliott、Chad Elliot和Dwayne Wiggins。","This album contains more innovative inputs from the Quartet, although they still rely on a production team, including Rodney Jerkins, Missy Elliott, Chad Elliot and Dwayne Wiggins.","The album showed creative contributions from the quartet. However, the production team included popular stars. Some artists were Rodney Jerkins, Missy Elliott, Chad Elliot and Dwayne Wiggins by Tony!"
"Administrative termination Memberships may be terminated at the discretion of the ruling body of the Church of Satan consisting of the High Priest, the High Priestess and the Council of Nine.","Die Mitgliedschaften können von der Kirche des Hohenpriesters Satans, der Hohenpriesterin und dem Rat der Neun aufgehoben werden.","由撒旦教会自行决定终止成员资格,由最高祭司、大祭司和九国理事会组成,由理事机构作出决定。","Membership is terminated at the discretion of the Satanic Church and consists of the High Priest, the High Priest and the Ninth National Council, which is decided by the governing body.","Memberships can be abolished by the Church of the High Priest of Satan, the High Priestess and the Council of the Nine."
"The Saturnian moon Rhea may have a tenuous ring system consisting of three narrow, relatively dense bands within a particulate disk.","Der Saturn Mond, Rhea kann ein zähes Ringsystem haben, das drei schmale, dichte Bänder innerhalb einer Partikelscheibe hat.",土星月亮Rhea 可能有一个微妙的环状系统。 它在颗粒盘中有三个狭窄、相对稠密的波段。,"Saturn's moon Rhee may have a delicate ring system, which has three narrow, relatively dense bands in the particle plate.","The Saturn Moon, Rhea can have a tough ring system that has three narrow, dense bands within a particle disk."
He is also co-creator of the short-lived cult television show Profit.,Er ist der Mitgestalter der kurzlebigen Kult-Fernsehshow Profit.,他是“利润”节目的共同创作者。,He is a co-author of the “Profits” program.,He is the co-creator of the short-lived cult television show Profit.
Vietnam War: four F-4C Phantoms escorting a bombing raid at Kang Chi are the targets of antiaircraft missiles in the first such attack against American aircraft in the war.,Der erste Raketenangriff auf amerikanische Flugzeuge während des Vietnamkrieges war gegen vier F-4C Phantoms.,"越南战争:四架F-4C幻影在姜志进行轰炸袭击,是防空导弹的目标。 这是在战争中第一次对美国飞机进行这种攻击。","Viet Nam War: Four F-4C Mirage bombing attacks in Kang Chi were the target of anti-aircraft missiles, the first such attack against a United States aircraft in the war.",The first rocket attack on American aircraft during the Vietnam War was against four F-4C Phantoms.
"Diagnosis is made by seeing these symptoms, having a history of exposure is also helpful but not always found as kennel cough is easily spread through contact with contaminated surfaces such as the ground, toys, sidewalks, dog parks.","Die Diagnose wird durch das Sehen dieser Symptome gemacht. Belichtung ist auch hilfreich, aber nicht immer gefunden. Kennelhusten wird leicht durch den Kontakt mit kontaminierten Oberflächen wie Boden, Spielzeug, Gehwege, Hundeparks verteilt.","诊断是通过观察这些症状来做的。 接触史很有帮助, 但并不总是能找到。 这是因为狗咳嗽很容易通过接触受污染的表面而传播。 这些受污染的表面可能包括地面、玩具、人行道和狗公园。","The diagnosis is made by observing these symptoms -- exposure history is helpful, but it is not always found -- because the dog cough is easily transmitted by exposure to contaminated surfaces, which may include the ground, toys, pavements, and dog parks.","The diagnosis is made by seeing these symptoms. Exposure is also helpful, but not always found. Kennel cough is easily distributed through contact with contaminated surfaces such as floor, toys, walkways, dog parks."
"Toller Shalitoe Montague Cranston, CM (born April 20, 1949) is a Canadian figure skater.",Toller Cranston ist ein kanadischer Eiskunstläufer.,托勒·克兰斯顿是加拿大的滑冰选手,Toller Cranston is a Canadian skater.,Great Cranston is a Canadian figure skater.
"However, the saltire design of the Alabama state flag also bears resemblance to several other flags.",Auch das saltire Design der Alabama-Staatsflagge ähnelt mehreren anderen Flaggen.,阿拉巴马州国旗看起来与其他几个国旗相似。,The Alabama flag appears to be similar to several other flags.,The saltire design of the Alabama flag also resembles several other flags.
"Following Heraclius, the title commonly became the Greek Basileus (Gr.",Nach Heraclius wurde der Titel gemeinhin der griechische Basileus.,"赫拉克利乌斯之后,头衔通常改为希腊巴西耳斯(Gr.)。","After Heracreus, the title is usually changed to Basiles, Greece (Gr.).",After Heraclius the title was commonly called the Greek Basileus.
The Chronicler Juan de Betanzos who provides us with most of the information pertaining to the Huáscar-Atahualpa civil war outlines Huáscar's tyranny.,"Juan de Betanzos liefert uns die meisten Informationen, die für den Bürgerkrieg in Huáscar-Atahualpa und die Tyrannei in Huáscar relevant sind.","《胡安·德贝坦佐斯纪事报》提供了有关瓦斯卡-阿塔胡拉帕内战的最多信息,他展示了瓦斯卡的暴政。","The Juan de Bettanzos Chronicle provided the most information about the Vasca-Atajulapa civil war, which demonstrated the tyranny of Vasca.",Juan de Betanzos provides us with the most information relevant to the civil war in Huáscar-Atahualpa and the tyranny in Huáscar.
"Interethnic tensions resulted in a horrible massacre, in which most Armenians in the town of Shusha perished.",Spannungen zwischen verschiedenen ethnischen Gruppen führten zu vielen Morden. Die meisten Armenier in Shusha starben.,"族裔间冲突导致了一场可怕的屠杀,屠杀在舒沙市杀害了大多数亚美尼亚人。",The inter-ethnic conflict led to a terrible massacre that killed most Armenians in the city of Shusha.,Tensions between different ethnic groups led to many murders. Most Armenians in Shusha died.
"Most of the population were engaged in farming, dairy farming, or tanning.",Die meisten Menschen gezüchtet oder gebräunt.,许多人从事农业、奶制品种植或晒黑。,"Many are engaged in agriculture, dairy farming or tanning.",Most people bred or tanned.
Mobile browsers are optimized so as to display Web content most effectively for small screens on portable devices.,"Mobile Browser sind optimiert, um Inhalte auf kleinen Bildschirmen anzuzeigen.","移动浏览器得到优化,以便最直接地在便携式设备上的小屏幕上显示网络内容。",The mobile browser is optimized to display network content most directly on a small screen on a portable device.,Mobile browsers are optimized to display content on small screens.
The Japanese Clouded Salamander (Hynobius nebulosus) is a species of salamander in the Hynobiidae family.,Der Japanische Wolkensalamander (Hynobius nebulosus) ist eine Art aus der Familie der Salamander (Hynobius).,日本的乌云萨拉曼德(Hynobius nebulosus)是Hynobiidae家族中的一种栖息地物种。,"In Japan, Hynobius nebulous is a habitat species in the Hynobiidae family.",The Japanese cloud salamander (Hynobius nebulosus) is a species of salamander in the family Hynobius.
"Leading figures included Otto Ernst Remer, a former Major General, and Fritz Dorls.","Zu den führenden Persönlichkeiten zählten Otto Ernst Remer, ehemaliger Generalmajor, und Fritz Dorls.",领导人包括前少将奥托·恩斯特·雷默和弗里茨·多尔斯。,The leaders included former Major General Otto Ernst Remmer and Fritz Doers.,"Among the leading figures were Otto Ernst Remer, former major general, and Fritz Dorls."
"Life in the swamps The first tetrapods are now thought to have evolved in shallow and swampy freshwater habitats, towards the end of the Devonian, a little more than 365 million years ago.","Leben in den Sümpfen Die ersten Tetrapoden sollen sich gegen Ende des Devonischen Meeres, vor etwas mehr als 365 Millionen Jahren, zu seichten und sumpfigen Süßwasserhabitaten entwickelt haben.","据认为,第一批四溴二苯醚在浅滩和沼泽淡水生境中,在德文河的末端,即大约3.65亿年前,已经演变为浅滩和沼泽淡水生境。","The first batch of tetraBDE is believed to have evolved into shallow and swamp freshwater habitats at the end of the Devon River, some 365 million years ago.","Life in the swamps The first tetrapods are said to have developed towards the end of the Devonian Sea, just over 365 million years ago, into shallow and swampy freshwater habitats."
"The following year, a newspaper solicited eleven design proposals (all but one of which was a Nordic cross) and polled the people to determine the most popular.","Im nächsten Jahr erhielt eine Zeitung elf Designvorschläge und alle außer einem hatte ein nordisches Kreuz. Sie befragten die Leute, um die beliebtesten zu bestimmen.","第二年,该报要求提出11项设计建议(除1项外,全部是北欧十字架),并要求人们确定最受欢迎者。","In the following year, the newspaper requested 11 design proposals (all but one Nordic cross) and the identification of the most popular.","Next year, a newspaper received eleven design suggestions and all but one had a Nordic cross. They questioned the people to determine the most popular."
Awake is a 2007 suspense thriller written and directed by Joby Harold.,Joby Harold schrieb/regierte 2007 den Thriller Erwachet.,醒来是2007年的悬念刺激片 是乔比·哈罗德写和指挥的,"Wake up was a suspense film from 2007, written and directed by Jobby Harold.",Joby Harold wrote/ruled the 2007 thriller Awake.
"Before 1858, the precursor units of the Indian Army were units controlled by the Company and were paid for by their profits.","Vor 1858 wurden die Vorläufereinheiten der indischen Armee von der Company kontrolliert, für die sie durch ihre Profite bezahlt wurden.","1858年以前,印度陆军第一批部队由该公司控制,其利润支付。","Before 1858, the first units of the Indian Army were controlled by the company and their profits were paid.","Before 1858, the forerunner units of the Indian Army were controlled by the Company, for which they were paid for by their profits."
"The St Andrew, also called the badge-appendant, is worn suspended from the collar.",Das St Andrew Abzeichen wird am Kragen getragen.,徽章附录(St Andrew)被吊在领子上。,The appendix to the emblem (St Andrew) was hung from the collar.,The St Andrew badge is worn on the collar.
The 1992 Winter Games were the last to be staged in the same year as the Summer Games.,Die Winterspiele 1992 waren die letzten im selben Jahr wie die Sommerspiele.,1992年冬季运动会是与夏季运动会同年举行的最后一次冬季运动会。,The 1992 Winter Games were the last winter Games to be held in conjunction with the Summer Games.,The 1992 Winter Games were the last in the same year as the Summer Games.
"Hahn has played with orchestras such as the London Symphony Orchestra, New York Philharmonic, Stuttgart Radio Symphony Orchestra, and the Singapore Symphony Orchestra.","Hahn spielte mit dem London Symphony Orchestra, dem New York Philharmonic, dem Stuttgart Radio Symphony Orchestra und dem Singapore Symphony Orchestra.",哈恩与纽约交响乐团、斯图加特电台交响乐团、伦敦交响乐团和新加坡交响乐团等乐团一起演奏。,"Han played with the New York Symphony Orchestra, the Stuttgart Radio Symphony Orchestra, the London Symphony Orchestra and the Singapore Symphony Orchestra.","Hahn played with the London Symphony Orchestra, the New York Philharmonic, the Stuttgart Radio Symphony Orchestra and the Singapore Symphony Orchestra."
"On 30th June 2006 BBC Radio 3 broadcast ""Night Waves"" to commemorate the anniversary of the Battle of the Somme.","Juni 2006 ausgestrahlt, um den Jahrestag der Somme Battle zu feiern.","英国广播公司第三电台于2006年6月30日播出「夜浪」节目,","On June 30, 2006, BBC Radio 3 broadcast the ""Night Wave"" programme, which was launched by the British Broadcasting Corporation.","It was aired on June 16, 2006 to celebrate the anniversary of the Somme Battle."
"Its inaugural concert took place in Tel Aviv on December 26, 1936, and was conducted by Arturo Toscanini.",Das erste Konzert fand 1936 in Tel Aviv statt. Es wurde von Arturo Toscanini dirigiert.,"1936年12月26日,Arturo Toscanini在特拉维夫举行首届音乐会。","On 26 December 1936, Arturo Toscanini held the first concert in Tel Aviv.",The first concert took place in Tel Aviv in 1936. It was conducted by Arturo Toscanini.
"The first generator (No. 22) in the south side of the dam started working on June 11, 2007.",Der erste Generator des Damms begann am 11. Juni 2007 zu arbeiten.,"第一台发电机(22号,位于大坝南侧)于2007年6月11日开工。","The first generator (No. 22, located on the south side of the dam) commenced work on 11 June 2007.","The first generator of the dam began to work on June 11, 2007."
"The Post Office was established on May 24, 1897, and took its name from Koweta Mission.",Mai 1897 begann das Postamt und wurde aus der Koweta-Mission benannt.,"邮局于1897年5月24日成立,以Koweta特派团命名。",The post office was established on 24 May 1897 and named after the Koweta Mission.,"The post office began on May 1, 1897 and was named from the Koweta mission."
"The Gentoo Penguin, Pygoscelis papua, is easily recognized by the wide white stripe extending like a bonnet across the top of its head.","Der Gentoo Penguin, ist leicht durch den breiten weißen Streifen auf dem Kopf zu erkennen.","Gentoo Penguin, Pygoscelis papua, 很容易被像围巾一样横穿头顶的宽宽白条纹所认出。","Gentoo Penguin, Pygoschelis papua, is easily recognized by the wide white stripes across the head like a scarf.","The Gentoo Penguin, is easily recognizable by the wide white stripe on the head."
Munroe Bight to the north of Cape Pillar is named after the former American barque James Munroe wrecked there in 1850.,"Munroe Bight von Cape Pillar ist nach dem ehemaligen Barque James Munroe benannt, der dort 1850 zerstörte.",根據1850年美國船詹姆斯•芒羅 失事的名號 1850年美國船詹姆斯•芒羅,"According to the name of the 1850 American ship James Munro, the 1850 American ship James Munro.","Munroe Bight of Cape Pillar is named after the former barque James Munroe, which destroyed there in 1850."
References External links Mariano José de Larra in the Biblioteca Virtual Miguel de Cervantes.,Referenzen: Mariano José de Larra in der Biblioteca. Virtuelle: Miguel de Cervantes.,Mariano José de Larra可在Biblioteca虚拟Miguel de Cervantes中找到。,Mariano José de Larra can find it in the Biblioteca virtual Miguel de Cervantes.,References: Mariano José de Larra in the Biblioteca. Virtual: Miguel de Cervantes.
"Lecture by Archbishop Jean-Louis Tauran, 22 April 2002 The Holy See, not the Vatican City, maintains diplomatic relations with states and participates in international organizations.","Vortrag von Erzbischof Jean-Louis Tauran: Der Heilige Stuhl, nicht der Vatikan, behandelt die diplomatischen Beziehungen zu den Staaten und nimmt an internationalen Organisationen teil.","Jean-Louis Tauran大主教2002年4月22日的演讲:罗马教廷,而不是梵蒂冈城,与各国有外交关系并参加国际组织。","Archbishop Jean-Louis Tauran, 22 April 2002: Holy See, not Vatican City, has diplomatic relations with States and participates in international organizations.","Presentation by Archbishop Jean-Louis Tauran: The Holy See, not the Vatican, deals with diplomatic relations with the States and participates in international organizations."
"Around 1125, her father died and she succeeded as Countess of Boulogne.",Um 1125 starb ihr Vater. Sie nahm dann seinen Platz ein und wurde Gräfin von Boulogne.,"大约11: 25,她父亲去世,她取代他,成为布洛涅伯爵夫人。","At about 11:25, her father died, and she replaced him as Countess Boulogne.",Her father died around 1125. She then took his place and became Countess of Boulogne.
"Armand Jean du Plessis de Richelieu, Cardinal-Duc de Richelieu (9 September 1585 – 4 December 1642), was a French clergyman, noble, and statesman.","Armand Jean du Plessis de Richelieu, Kardinal-Duc de Richelieu, war ein französischer Religionsführer, Adliger und Staatsmann.","Armand Jean du Plessis de Richelieu, 红衣主教-Duc de Richelieu是法国贵族和政治家,1585年9月9日至1642年12月4日居住。","Armand Jean du Plessis de Richelieu, cardinal-Duc de Richelieu, a French aristocrat and politician, lived from 9 September 1585 to 4 December 1642.","Armand Jean du Plessis de Richelieu, Cardinal Duc de Richelieu, was a French religious leader, nobleman and statesman."
"Although these parties may describe themselves as ""libertarian,"" their ideologies differ considerably and not all of them espouse all elements of the libertarian agenda.","Obwohl sie selbst als ""libertarisch"" bezeichnet wurden, waren ihre Überzeugungen viel anders. Und nicht alle von ihnen nahmen ihre Agenda an.",这些政党称自己为“自由主义者 ” 。 他们的信仰差异很大。 有些政党并没有遵循自由议程的所有领域。,These parties call themselves “liberals.” Their beliefs vary widely.,"Although they themselves were called ""libertarian,"" their beliefs were much different, and not all of them accepted their agenda."
Conjunction is a term used in positional astronomy and astrology.,"Konjunktion ist ein Wort, das in der Astronomie und Astrologie verwendet wird.",连接用于定位天文学和占星学。,Connections are used to locate astronomy and astrology.,conjunction is a word used in astronomy and astrology.
"The town of Carluke (Gaelic: Cathair MoLuaig) lies in the heart of the Lanarkshire countryside in South Lanarkshire, Scotland, 5.4 miles northwest of Lanark and 5 miles South-East of Wishaw.","Die Stadt Carluke liegt im Herzen der Lanarkshire-Landschaft in South Lanarkshire, Schottland, 5,4 Meilen nordwestlich von Lanark und 5 Meilen südöstlich von Wishaw","卡卢克镇位于苏格兰南拉纳克郡农村,在拉纳克西北约5.4英里和Wishaw东南5英里处。","The town of Kaluk is located in the village of South Lanakshire, Scotland, 5.4 miles north-west of Lanak and 5 miles south-east of Wishaw.","The town of Carluke is located in the heart of the Lanarkshire countryside in South Lanarkshire, Scotland, 5.4 miles northwest of Lanark and 5 miles southeast of Wishaw"
"In the third round, the Conference Finals, the two remaining teams in each conference play each other, with the conference champions proceeding to the Stanley Cup Finals.",In den Conference Finals spielen sich die letzten beiden Teams in jeder Konferenz. Die Conference Champions werden nicht in den Stanley Cup Finals spielen.,"在会议决赛中,每场会议的最后两队相互比赛。会议冠军将比在斯坦利杯决赛中比赛。","In the finals, the last two teams of each session compete with each other.",In the Conference Finals the last two teams play each other in each conference. The Conference Champions will not play in the Stanley Cup Finals.
A batter against whom three strikes are recorded strikes out.,Ein Schläger ist nach drei Schlägen draußen.,"当他们得到3次打击时,就击倒他们。","When they got hit three times, they knocked them down.",A bat is out after three strikes.
"However, by the end of the movie, she is more outgoing and confident.",Am Ende des Films ist sie eher ausserordentlich und selbstbewusst.,"电影即将结束,她更出场,更喜好。","The movie's coming to an end, she's more out and preferred.",At the end of the film she is more extraordinary and self-confident.
"However, he was criticised for the UN's failure to act during the 1994 Rwandan Genocide, which officially left over 1 million people dead, and he appeared unable to muster support in the UN for intervention in the continuing Angolan Civil War.","Er wurde kritisiert, weil die UNO während des ruandischen Völkermordes von 1994, der über eine Million Tote hinterließ, nicht aktiv war. Er konnte die UNO auch nicht in den andauernden angolanischen Bürgerkrieg eingreifen lassen.","然而,他却因联合国未能在1994年卢旺达种族灭绝期间采取行动而受到批评,导致100多万人死亡。 他无法在联合国获得支持来干预持续的安哥拉内战。","However, he had been criticized for the failure of the United Nations to act during the 1994 genocide in Rwanda, which had resulted in the death of more than 1 million people, and had been unable to obtain support from the United Nations to intervene in the ongoing civil war in Angola.","He was criticized because the UN was not active during the Rwandan genocide of 1994, which left more than a million dead, and could not allow the UN to intervene in the ongoing Angolan civil war."
This disease is often mild and attacks often pass unnoticed.,Diese Krankheit ist in der Regel nicht schwerwiegend und Angriffe können ohne dass jemand bemerken.,"这种疾病是温和的,袭击往往无人注意。",The disease is mild and attacks often go unnoticed.,This disease is usually not serious and attacks can be noticed without anyone.
Bridges in the United States is a link page for any notable bridge in the United States of America.,Brücken in den Vereinigten Staaten sind mit anderen bemerkenswerten Brücke in den Vereinigten Staaten von Amerika verbunden.,"美国的桥梁是一个链接页,是美国任何显著桥梁的链接页。","The bridge in the United States is a link page, a link page to any significant bridge in the United States.",Bridges in the United States are connected with other remarkable bridges in the United States of America.
"In modern times, the waters are 70% to 90% used for human purposes and the flow is much reduced.",Heute sind die Wasser 70%-90% aus menschlichen Gründen. Der Fluss hat auch reduziert.,"今天,由于70-90%的水用于人类原因,水流量下降。","Today, water flows decline because 70 to 90 per cent of water is used for human reasons.","Today, the water is 70%-90% for human reasons. The river has also reduced."
"In June 2001, the angle grew in intensity as the WWF storylines somewhat abated to make room for the central Invasion storyline.","Im Juni 2001 wuchs der Winkel in der Intensität. Während die WWF-Storylines etwas verlangsamte, um Platz für die zentrale Invasions-Storyline zu schaffen.","2001年6月,当WWF故事线稍稍下降,为中央入侵故事线留出空间时,角度强度上升。","In June 2001, when the WWF storyline fell slightly, leaving room for a central intrusion storyline, the angle intensity increased.","In June 2001, the angle grew in intensity. While the WWF storylines slowed somewhat to create room for the central invasion storyline."
In 1997 he was forced to leave his home after it was flooded by the water of the reservoir.,"1997 verließ er sein Haus, nachdem es von Wasserbecken überflutet wurde.","1997年他离家出走,水库淹没了他的房子。","In 1997, he ran away and the reservoir flooded his house.","In 1997, he left his home after being flooded by water pools."
"Subsequently, she appeared in several episodes of the television series NYPD Blue during 1994 and 1995.","Später in 1994-95, war sie in ein paar TV-Episoden von NYPD Blue.","后来,她在1994-1995年参加了几次纽约警局蓝色片段。","Later, she participated in several NYPD blue clips in 1994-1995.","Later in 1994-95, she was in a couple of NYPD Blue TV episodes."
"Although it has an orbit similar to the Flora family asteroids, 298 Baptistina was found to be an unrelated interloper.",Es hat eine ähnliche Umlaufbahn wie die Asteroiden der Flora-Familie. Die 298 Baptistina wurde als ein nicht verwandter Interloper gefunden.,"虽然其轨道与弗洛拉家族小行星相似,但298 Baptimina是一个无关的内插者。","Although its orbit is similar to that of the Flora family asteroid, 298 Baptista is an unrelated interpolator.",It has a similar orbit to the asteroids of the Flora family. The 298 Baptistina was found as an unrelated interloper.
This is a list of victims of Nazism who were noted for their achievements.,"Dies ist eine Liste der Opfer des Nationalsozialismus, die Erfolge hatten.",他们是纳粹的受害者 他们取得了很多成就,They're victims of the Nazis. They've done a lot.,This is a list of the victims of National Socialism who have been successful.
"Her active repertoire spans from Bach to Penderecki, from Vivaldi to Shostakovitch, containing over 40 works with orchestra and about 60 works of chamber music.",Ihre Musik reicht von Bach bis Penderecki. Ihre Lieder enthalten über 40 Werke mit Orchester und rund 60 Kammermusikwerke.,40个乐团和60个室内音乐作品 她有一个非常活跃的目录,40 bands and 60 indoor music works. She has a very active catalogue.,Their music ranges from Bach to Penderecki. Their songs contain over 40 works with orchestra and around 60 chamber music works.
"The Komodo dragon's diet is wide-ranging, and includes invertebrates, other reptiles (including smaller Komodo dragons), birds, bird eggs, small mammals, monkeys, wild boar, goats, deer, horses, and water buffalo.","Die Ernährung des Komodo-Drachens ist breit gefächert und umfasst Wirbellose, andere Reptilien (einschließlich kleinerer Komodo-Drachen), Vögel, Vogeleier, kleine Säugetiere, Affen, Wildschweine, Ziegen, Hirsche, Pferde und Wasserbüffel.","科莫多龙食用许多东西,包括无脊椎动物、其他爬行动物、鸟类、鸡蛋、小哺乳动物、猴子、野猪、山羊、鹿、马和水牛。","Comodoron eats many things, including invertebrates, other reptiles, birds, eggs, small mammals, monkeys, boars, goats, deer, horses and buffaloes.","The diet of the Komodo dragon is broad and includes invertebrates, other reptiles (including smaller Komodo dragons), birds, bird eggs, small mammals, monkeys, wild boars, goats, deer, horses and water buffaloes."
"The Secretary of State for Culture, Media and Sport is a United Kingdom cabinet position with responsibility for the Department for Culture, Media and Sport.","Der Staatssekretär für Kultur ist eine Position im britischen Kabinett. Er ist für das Ministerium für Kultur, Medien und Sport zuständig.","文化、媒体和体育国务秘书是联合王国内阁的一个职位,负责控制这些地区的部门。","The Secretary of State for Culture, Media and Sports is a position in the Cabinet of the United Kingdom and is responsible for the control of departments in these areas.","The Secretary of State for Culture is a position in the British Cabinet. He is responsible for the Ministry of Culture, Media and Sport."
"It is believed by Christians to have been written by human authors under the inspiration of the Holy Spirit, and therefore for many it is held to be the inerrant word of God.","Christen glauben, dass es von Autoren geschrieben wurde, die durch den Heiligen Geist und Gottes Wort inspiriert sind.","基督徒相信它是由人类作家在圣灵的指导下写成的。 因此,许多基督教教徒相信它是神的旨意,因此不会犯错。","Christians believe that it is written by human writers under the guidance of the Holy Spirit, so many Christians believe that it is the will of God and therefore do not make mistakes.",Christians believe that it was written by writers inspired by the Holy Spirit and God's Word.
Biochemistry is the study of the chemical processes in living organisms.,Biochemie ist in der Tat eine Studie über die chemischen Prozesse von lebenden Organismen.,生物化学是对生物中的化学过程的研究。,Biochemistry is a study of chemical processes in biology.,Biochemistry is indeed a study of the chemical processes of living organisms.
"It is the capital of the Giza Governorate, and is located near the northeast border of this governorate in coordinates.",Es ist die Hauptstadt des Gouvernements Giza und liegt in der Nähe der nordöstlichen Grenze des Gouvernements.,"它是吉萨省首府,坐标位于该省东北边界附近。",It is the capital of the province of Giza and its coordinates are located near the north-eastern border of the province.,It is the capital of Giza province and is located near the northeastern border of the province.
"It is associated chiefly with the holiday Halloween, and was named after the phenomenon of strange light flickering over peat bogs, called ignis fatuus or jack-o '-lantern.",Es ist mit Halloween assoziiert. Es wurde nach dem Phänomen des seltsamen Lichtflimmerns über Torfmoore benannt. Dies wird als ignis fatuus oder Jack-o '-Laterne bezeichnet.,"它主要与万圣节有关, 以泥炭沼泽上闪烁的奇异光亮命名, 叫做 "" 万圣节之鸟 "" 。","It's mainly about Halloween, named after the strange light of the peat swamp, called "" the birds of Halloween "".",It is associated with Halloween. It was named after the phenomenon of strange light flickering over peat moors. This is referred to as ignis fatuus or Jack-o' lantern.
Elliot Goldenthal (born May 2 1954) is an Academy Award and Golden Globe winning American composer of contemporary classical music.,Elliot Goldenthal ist ein US-amerikanischer Komponist zeitgenössischer klassischer Musik.,"Elliot Goldenthal是美国当代古典音乐作曲家,",Elliot Goldenthal is a contemporary American classical music composer.,Elliot Goldenthal is an American composer of contemporary classical music.
It is the 9th most populous city of Sweden.,Es ist Schwedens 9. bevölkerungsreichste Stadt.,这是瑞典第九大城市。,This is Sweden's ninth largest city.,It is Sweden's 9th most populous city.
"In World War II, the Battle of France, also known as the Fall of France, was the German invasion of France and the Low Countries, executed from 10 May 1940, which ended the Phoney War.","Im Zweiten Weltkrieg war die Schlacht von Frankreich, auch bekannt als der Fall von Frankreich, die deutsche Invasion von Frankreich und den Niederen Ländern, die zu einem Ende der Phoney Krieg am 10. Mai 1940.",法国的战役是德国在二战期间入侵法国和低收入国家。,France's battle was the invasion of France and low-income countries by Germany during the Second World War.,"During World War II the Battle of France, also known as the fall of France, was the German invasion of France and the Low Countries, which led to an end to the Phoney War on May 10, 1940."
"The Boosh soon produced three stage shows - The Mighty Boosh (1998), Arctic Boosh (1999) and Autoboosh (2000) - all of which were taken to the Edinburgh Fringe.","The Boosh produzierte drei Bühnenshows - The Mighty Boosh (1998), Arctic Boosh (1999) und Autoboosh (2000). Alle wurden in der Edinburgh Fringe aufgeführt.",《Boosh》制作了三个阶段的节目。这些阶段的节目是《万能的Boosh》、《北极的Boosh》和《Autoboosh》。,"Boosh produces three-stage programmes: Powerful Boosh, Arctic Boosh and Autoboosh.","The Boosh produced three stage shows - The Mighty Boosh (1998), Arctic Boosh (1999) and Autoboosh (2000). All were performed in Edinburgh Fringe."
